product_1,product_1_title,product_1_img,product_2,product_2_title,product_2_img,simple_compatible,Gemeni_compatible,reason
DRVQ1270,"Juniper 24"" Floating Minimalist Bathroom Sink with Concealed Drain",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/259053702/1/c.jpg,SFTA8001,Animals Funny Bathroom Decor Black and White Highland Cow Sit On Toilet Large Framed Canvas Print Wall Art,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/264677430/1/c.jpg,No,No,"The sleek, serious minimalism of the floating gray sink clashes with the quirky, humorous, and rustic-themed novelty of the cow wall art. While the colors are neutral, the design intents are fundamentally opposed, creating a jarring and incoherent aesthetic."
BCZX1253,Anelie 42'' Single Bathroom Vanity With Concrete Top,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/284305156/1/c.jpg,ZCBO1014,Shoji 1 -Light Dimmable LED Vanity Light,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/252554633/1/c.jpg,Yes,No,"The warm, natural wood and refined fluting of the vanity clash with the cool, distressed silver foil finish of the light fixture. While both have modern, linear shapes, their material textures and color temperatures are in conflict, creating a disjointed look."
HBYH9933,Boho Bath II - Painting Print on Canvas,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/144294375/1/c.jpg,BCVG5150,Wood Bathroom Accessory Tray,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/236228665/1/c.jpg,Yes,Yes,"Both pieces share a relaxed, vintage-inspired aesthetic. The rustic, whitewashed wood of the tray is a common element in bohemian design and would complement the eclectic scene depicted in the wall art."
NDPJ1766,Kaylee Sahara Boho Stain/Fade Resistant Non-Slip Machine Washable Gray/Ivory Bath Rug,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/346037719/1/c.jpg,WYRV5930,Boho Bath II,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/222999082/1/c.jpg,Yes,Yes,"Both pieces share a distinct Boho style. The geometric, tribal-inspired pattern on the bath rug is echoed by the rug depicted in the wall art, creating a cohesive and intentionally designed look."
MECY2637,"Decorative Wall Mirror Mosaic 24"" Round Handcrafted Wall Art Colorful Glass Tile Décor For Home",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/218398774/1/c.jpg,PBYB1283,Luxton Turkish Cotton Pom Pom Rainbow Hand Towel,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/168994874/1/c.jpg,No,No,"The mirror has a sophisticated, glam aesthetic with a controlled color palette of blues and silvers. The towel is casual and bohemian with a busy, multicolored rainbow pattern. The conflicting color schemes and levels of formality would create a visually jarring and incoherent look."
AHCR1426,Faelan Summer Flower 3 Piece Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/219567399/1/c.jpg,YTCH1222,"Brigit Free-Standing Bathroom Cabinet with Adjustable Shelf, 3 Drawers and a Niche",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/315293304/1/c.jpg,Yes,No,"These products have clashing styles. The accessory set is light, modern, and whimsical with a soft, multi-colored pastel palette. In contrast, the cabinet is heavy and traditional with a dark, formal espresso finish and farmhouse-style paneling."
NRST1010,Premium Teak String Rectangle Teak and Wood Bath Mat,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/123762424/1/c.jpg,FRNY2548,"Baldwin 24"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/128708522/1/c.jpg,Yes,Yes,"Both products feature a modern design aesthetic with clean lines and a focus on natural wood. The warm tones of the teak mat and the walnut vanity complement each other, creating a cohesive and sophisticated look suitable for a Mid-Century Modern or spa-inspired bathroom."
FOW16651,"Modway Render 36"" Single Bathroom Vanity Base Only",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/223235397/1/c.jpg,WLDM8232,Ayden Solid Bamboo Wood Freestanding Bathroom Cabinet,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/125714492/1/c.jpg,No,Yes,"Both pieces feature a prominent horizontal slatted design on their doors and are raised on simple legs, creating a strong visual connection. The contrast between the crisp white vanity and the warm, natural bamboo cabinet is a popular and harmonious pairing for a modern or spa-inspired bathroom."
AHCR1159,Hovey 4 Piece Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/131019266/1/c.jpg,SFNA1000,"Hannemarie Wall Mounted Single Bathroom Vanity with Ceramic Top, Modern Luxury Vanity with Storage, Eco-Friendly E1 for Small Bathroom, Apartment, Hotel Style",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/283906985/1/c.jpg,Yes,No,"The two products have conflicting styles. The accessory set is warm, rustic, and natural with its beige stone and wood finish, while the vanity is cool, modern, and minimalist with its stark white color and sleek, floating design. The horizontal banding on the accessories would also clash with the vertical fluting of the vanity."
FOW11824,"Render 36"" Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/132812277/1/c.jpg,BCVG2238,Kowalsky Bathroom Accessory Tray,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/136064101/1/c.jpg,No,No,"The vanity is distinctly Mid-Century Modern, featuring clean lines, a smooth wood finish, and a slatted front. The accessory tray is Rustic, with a more distressed wood grain and ornate, antique metal handles. The sleek, minimalist style of the vanity clashes with the rugged, decorative aesthetic of the tray."
SFNA1084,"Motohisa 30"" Striped Walnut Single Bathroom Vanity with Ceramic Top, Modern Wood Vanity with 2-Door Storage for Master Bathroom, Apartment & Hotel Style",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/361167805/1/c.jpg,CXVA1460,"Bonnita 26"" Wide Mid Century Upholstered Accent Chair with an Extra Pillow",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/341892131/1/c.jpg,No,Yes,"Both pieces share a distinct Mid-Century Modern design language, characterized by their tapered, light-colored wooden legs and clean lines, creating a cohesive and stylish pairing."
FOW12702,"Modway Ledger 36"" Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/221811997/1/c.jpg,AXEN1369,Mid-Century Modern Coffee Table with Storage and Slatted Sliding Doors,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/339973453/1/c.jpg,No,Yes,"Both pieces share a distinct mid-century modern style. They both feature slatted wood fronts and tapered legs, which are hallmarks of this design era. Although the wood tones and hardware finishes differ, they are complementary and would work together to create a cohesive, stylish space."
KFBM2150,Hopperton Floral Single Shower Curtain,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/268781442/1/c.jpg,BDJC1922,Hayler Lotion Pump,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/188342396/1/c.jpg,No,No,"While both items feature a floral theme and the color yellow, their styles are fundamentally opposed. The shower curtain is bold, abstract, and maximalist with a vibrant, multi-colored palette, whereas the lotion pump is traditional and delicate with a muted, soft color scheme. The visual clash would be jarring."
HTBM1285,Tiarra 5 Piece Bathroom Hardware Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/83989244/1/c.jpg,KTEL6134,Wildon Home® Domitilla Tall 2-Door Bath Cabinet 22X28,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/295340467/1/c.jpg,Yes,Yes,"Both products feature dark metal hardware (vintage bronze and black) which creates a cohesive look. The clean lines of the rustic/modern hardware set complement the contemporary, geometric design of the white boho-inspired cabinet."
DFIE1287,"Eiffe 27.25"" W x 73"" H x 11"" D Over-The-Toilet Storage",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/89946298/1/c.jpg,ASGA2745,"Truet 54"" Double Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/4255712/1/c.jpg,No,No,"The sleek, modern, and airy design of the metal-and-glass storage unit directly conflicts with the heavy, ornate, and traditional Victorian style of the carved wood vanity. The two pieces have opposing aesthetics in terms of material, weight, and decorative style."
ARGD8810,"Burnet 48"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/37561065/1/c.jpg,EBPS5366,"4.5 Gallon Vintage Metal Step On Trash Can With Lid, Rustic Farmhouse Metal Bin",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/355088635/1/c.jpg,Yes,No,"The vanity is highly ornate and formal with its carved wood and polished marble, while the trash can is explicitly rustic with a distressed metal finish. The clash between the elegant, traditional style of the vanity and the casual, farmhouse style of the trash can would be visually jarring."
XETU1035,"Wagstaff 23.62"" W x 31.89"" H x 12.4"" D Free-Standing Bathroom Cabinet",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/207934895/1/c.jpg,BBCB1148,"Timeless Classic 64"" Double Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/156608067/1/c.jpg,No,No,"While both pieces are dark wood, their styles are fundamentally opposed. The vanity is highly ornate, traditional, and formal with curved lines and elaborate hardware. The corner cabinet is simple and transitional with straight lines and beadboard doors. Placing them together would create a disjointed and incoherent aesthetic."
EESH1024,"Cayden 30"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/152084914/1/c.jpg,WLDM8232,Ayden Solid Bamboo Wood Freestanding Bathroom Cabinet,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/125714492/1/c.jpg,No,No,"These two pieces have conflicting styles. The vanity has a rustic, farmhouse aesthetic with its distressed grey wood finish and black metal barn door hardware. The storage cabinet, made of light, natural bamboo with a slatted design, has a modern, spa-like feel. The difference in material finish, color, and overall design language would create a jarring and incoherent look in a bathroom."
FDL2091,"Cleary 32"" W x 36"" H x 8"" D Solid Wood Wall Mounted Bathroom Cabinet",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/6892319/1/c.jpg,LLML1027,Keturah Solid Wood Standard Bed,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/36987998/1/c.jpg,No,Cannot Determine,"A bed is not a suitable product for a bathroom, making this pairing nonsensical in the context of bathroom design."
LRMI1652,Farmhouse Boho Bathroom Rugs,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/307478657/1/c.jpg,GSBR1335,Boho Natural Rattan 4-piece Bedroom Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/328899981/1/c.jpg,No,Yes,"Both pieces share a distinct Boho aesthetic. The natural rattan and light wood of the furniture set complement the earthy green tones and vintage-inspired pattern of the rug, creating a cohesive and textured look."
WYRV5930,Boho Bath II,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/222999082/1/c.jpg,ANDV4024,Ayden Solid Bamboo Wood Freestanding Linen Cabinet,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/124427745/1/c.jpg,Yes,Yes,Both pieces contribute to a cohesive 'Boho' or natural spa-like aesthetic. The natural bamboo and slatted design of the cabinet complement the organic elements and relaxed vibe depicted in the wall art.
AXOA1410,"Revan 49"" H Farmhouse Bed Frame With Sliding Barn Door Storage Cabinets",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/307576174/1/c.jpg,SGRV1111,"Jillian 30"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/286236028/1/c.jpg,No,Cannot Determine,"Product 1 is a bed frame, which is not a bathroom product. This pairing is nonsensical for a bathroom."
RDM10010,Mcgonigal Bamboo 4 Piece Bathroom Accessory Set,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/98254300/1/c.jpg,SGRE4765,"48"" Novak Single Bathroom Vanity Set with Oval Undermount Sink",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/226763386/1/c.jpg,No,Yes,"Both products feature natural wood and clean, modern lines. The simple, organic style of the bamboo accessories is a perfect complement to the Mid-Century Modern design of the vanity."
WIYU1077,Kylann Rattan Freestanding Bathroom Cabinet with Drawer & Adjustable Shelves,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/298172736/1/c.jpg,KRTB1010,"Antonina 47.24"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/131608711/1/c.jpg,No,Yes,"Both pieces share a distinct Mid-Century Modern and Scandinavian design aesthetic. They both feature light-toned wood construction and tapered, angled legs, creating a very cohesive and intentional look."
CCHM1015,Cervantez Bath Rug,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/272862086/1/c.jpg,TTQ22238,"Capri 2 Light Bath Bar Shown In Brushed Nickel Finish With 6"" Turquoise Textured Glass",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/276907698/1/c.jpg,Yes,No,"The muted, earthy sage green of the bath rug clashes with the bright, vibrant turquoise of the light fixture's glass shades. The two color palettes are not harmonious and would create a disjointed aesthetic in a bathroom."
ODAA1206,Riccio Freestanding Over The Toilet Storage Cabinet with Sliding Fluted Door Adjustable Shelf,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/288827395/1/c.jpg,FOW20321,Modway Soma 36'' Free Standing Single Bathroom Vanity with Manufactured Wood Top,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/262668252/1/c.jpg,Yes,Yes,"Both pieces share a modern design language that emphasizes natural textures. The fluted door on the storage unit and the rattan on the vanity are complementary. The color contrast between the dark gray and light oak is a sophisticated pairing, bridged by the vanity's black top."
HCHO1893,Almetter Freestanding Bathroom Cabinet with Drawers,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/330624859/1/c.jpg,UIKE1014,"Millwood Pines Large Storage Cabinet,Bathroom Storage Cabinet With 2 Adjustable Drawers & 2 Shelf",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/186099875/1/c.jpg,No,No,"While both cabinets share a similar Shaker-inspired structure, their finishes and overall styles are in conflict. The solid, deep blue painted finish of Product 1 has a clean, transitional feel, which clashes with the rustic, dark oak wood grain texture of Product 2."
SGRV1014,"Jillian 36"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/125519257/1/c.jpg,YTCH1222,"Brigit Free-Standing Bathroom Cabinet with Adjustable Shelf, 3 Drawers and a Niche",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/315293304/1/c.jpg,No,No,"While both pieces share a general farmhouse style and are made of engineered wood, their finishes and hardware are in direct conflict. The light, weathered 'White Wash' of the vanity clashes with the dark, solid 'Espresso' of the cabinet. Furthermore, the modern black metal hardware on the vanity does not coordinate with the traditional knob and cutout handles of the storage unit, creating a disjointed look."
ARQI1016,"Enely Coffee Table with Storage, Mid Century Modern Coffee Table with slatted Door",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/329715524/1/c.jpg,FOW20193,Modway Miles 36'' Free Standing Single Bathroom Vanity with Ceramic Top,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/259430227/1/c.jpg,No,No,"While both pieces feature tapered legs and a modern aesthetic, their core styles are in conflict. The coffee table's warm, natural oak and slatted door design give it an organic, classic Mid-Century Modern feel. This clashes with the vanity's stark white, minimalist, and asymmetrical design, which reads as more contemporary and geometric."
KRTB1105,"Jasmine 60"" Wall-Mounted Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/329379442/1/c.jpg,HYTO8378,Modern & Contemporary Scandi Japandi Plants On Canvas Print,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/267034305/1/c.jpg,Yes,Yes,"Both pieces share a strong Japandi/Scandinavian design aesthetic. The vanity's natural wood texture and stone top complement the artwork's minimalist, nature-inspired theme and muted, earthy color palette."
XAQ16460,Japandi 4 by Simon West - Picture Frame Graphic Art Print on Paper,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/193822566/1/c.jpg,FOW11830,"Render 48"" Double Sink Bathroom Vanity",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/279779741/1/c.jpg,Yes,Yes,"Both pieces share a modern design aesthetic, with the vanity's Mid-Century Modern style complementing the art's Japandi theme. They both feature clean, geometric lines and a harmonious color palette; the vanity's white ceramic top echoes the art's white frame, while the warm wood provides a rich contrast to the navy blue abstract shapes."
ARGD6818,"Lunette 48"" Single Bathroom Vanity Set",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/64723272/1/c.jpg,XAMF1040,Baroque Style Vintage Bathroom Mirror,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/327535729/1/c.jpg,Yes,Yes,"Both pieces share an ornate, classical design language rooted in historical European styles. The vanity's carved details and curved legs harmonize with the mirror's arched shape and elaborate gold crest, creating a cohesive and sophisticated look."
CBXY7704,Vintage Rainbow Pastel Leaves Boho Watercolor I - Abstract Painting Acrylic Wall Art,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/292552129/1/c.jpg,FBXB1111,Arnod 6 - Piece Cotton Multi-Size Set Guest Room Case Pack,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/277374009/1/c.jpg,No,No,"The products have clashing styles and color palettes. The wall art is a vibrant, multi-colored modern abstract piece, while the towels feature a muted, two-tone traditional floral pattern in a neutral linen color. The aesthetics are visually incoherent."
CCHM1110,Virginio Bath Rug,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/270855587/1/c.jpg,FSHA1088,"Bohemian Flower Bathroom Curtain Colorful Boho Floral Print Beautiful Bright Polyester Fabric Cloth Shower Curtain For Bathroom Decoration, 72""x72""",https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/290127442/1/c.jpg,Yes,No,"The warm, solid blush color of the shaggy rug clashes with the cool-toned, delicate watercolor floral print of the shower curtain, which features shades of purple, blue, and green. The two pieces have conflicting color palettes and styles, creating a disjointed look."
CKLI1391,Euri  Gold Wall Mirror Asymmetrical,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/351903895/1/c.jpg,TRGU1831,Giraffe Bathroom Wall Mount Toilet Paper Holder,https://secure.img1-fg.wfcdn.com/lf/unprocessed/hash/0/93293244/1/c.jpg,Yes,No,"These products have clashing styles. The mirror is modern and glamorous with its fluid, asymmetrical shape and polished gold frame, while the giraffe toilet paper holder is rustic and whimsical with its cast iron material and safari theme. The aesthetics are too divergent to create a cohesive look."
